kom_b4,kommnr,fylke,fylke_b4
301,301,3,3
1101,1101,11,11
1103,1103,11,11
1103,1103,11,11
1106,1106,11,11
1108,1108,11,11
1108,1108,11,11
1111,1111,11,11
1112,1112,11,11
1114,1114,11,11
1119,1119,11,11
1120,1120,11,11
1121,1121,11,11
1122,1122,11,11
1124,1124,11,11
1127,1127,11,11
1130,1130,11,11
1133,1133,11,11
1134,1134,11,11
1135,1135,11,11
1144,1144,11,11
1145,1145,11,11
1146,1146,11,11
1149,1149,11,11
1151,1151,11,11
1160,1160,11,11
1505,1505,15,15
1506,1506,15,15
1506,1506,15,15
1506,1506,15,15
1507,1507,15,15
1507,1507,15,15
1507,1507,15,15
1507,1507,15,15
1507,1507,15,15
1511,1511,15,15
1514,1514,15,15
1515,1515,15,15
1516,1516,15,15
1517,1517,15,15
1520,1520,15,15
1525,1525,15,15
1528,1528,15,15
1531,1531,15,15
1532,1532,15,15
1535,1535,15,15
1539,1539,15,15
1547,1547,15,15
1554,1554,15,15
1557,1557,15,15
1560,1560,15,15
1563,1563,15,15
1566,1566,15,15
1573,1573,15,15
1576,1576,15,15
1577,1577,15,15
1577,1577,15,15
1578,1578,15,15
1578,1578,15,15
1579,1579,15,15
1579,1579,15,15
1804,1804,18,18
1806,1806,18,18
1806,1806,18,18
1806,1806,18,18
1811,1811,18,18
1812,1812,18,18
1813,1813,18,18
1815,1815,18,18
1816,1816,18,18
1818,1818,18,18
1820,1820,18,18
1822,1822,18,18
1824,1824,18,18
1825,1825,18,18
1826,1826,18,18
1827,1827,18,18
1828,1828,18,18
1832,1832,18,18
1833,1833,18,18
1834,1834,18,18
1835,1835,18,18
1836,1836,18,18
1837,1837,18,18
1838,1838,18,18
1839,1839,18,18
1840,1840,18,18
1841,1841,18,18
1845,1845,18,18
1848,1848,18,18
1851,1851,18,18
1853,1853,18,18
1856,1856,18,18
1857,1857,18,18
1859,1859,18,18
1860,1860,18,18
1865,1865,18,18
1866,1866,18,18
1867,1867,18,18
1868,1868,18,18
1870,1870,18,18
1871,1871,18,18
1874,1874,18,18
1875,1875,18,18
1875,1875,18,18
3001,3001,30,30
3002,3002,30,30
3002,3002,30,30
3003,3003,30,30
3004,3004,30,30
3005,3005,30,30
3005,3005,30,30
3005,3005,30,30
3006,3006,30,30
